marker,item,audiofile,audio_dur
41,stim/Items/Job_Pic.JPG,stim/Items/gain_1_high.mp3,33.3
42,stim/Items/Job_Pic.JPG,stim/Items/gain_1_low.mp3,33.3
43,stim/Items/Lotto_Pic.JPG,stim/Items/gain_2_high.mp3,31.3
44,stim/Items/Lotto_Pic.JPG,stim/Items/gain_2_low.mp3,31.3
45,stim/Items/Seminar_Pic.JPG,stim/Items/gain_3_high.mp3,28.3
46,stim/Items/Seminar_Pic.JPG,stim/Items/gain_3_low.mp3,28.3
47,stim/Items/Party_Pic.JPG,stim/Items/anonymity_1_high.mp3,25.3
48,stim/Items/Party_Pic.JPG,stim/Items/anonymity_1_low.mp3,26.3
49,stim/Items/Social_Media_Pic.JPG,stim/Items/anonymity_2_high.mp3,25.3
50,stim/Items/Social_Media_Pic.JPG,stim/Items/anonymity_2_low.mp3,23.3
51,stim/Items/Vergnügungspark_Pic.JPG,stim/Items/anonymity_3_high.mp3,26.3
52,stim/Items/Vergnügungspark_Pic.JPG,stim/Items/anonymity_3_low.mp3,25.3
53,stim/Items/Meeting_Pic.JPG,stim/Items/target_1_others.mp3,24.3
54,stim/Items/Meeting_Pic.JPG,stim/Items/target_1_self.mp3,22.3
55,stim/Items/Theater_Pic.JPG,stim/Items/target_2_others.mp3,24.3
56,stim/Items/Theater_Pic.JPG,stim/Items/target_2_self.mp3,22.3
57,stim/Items/Restaurant_Pic.JPG,stim/Items/target_3_others.mp3,25.3
58,stim/Items/Restaurant_Pic.JPG,stim/Items/target_3_self.mp3,23.3
59,stim/Items/Kaffee_Pic.JPG,stim/Items/group_1_out.mp3,32.3
60,stim/Items/Kaffee_Pic.JPG,stim/Items/group_1_in.mp3,31.3
61,stim/Items/Volleyball_Pic.JPG,stim/Items/group_2_out.mp3,26.3
62,stim/Items/Volleyball_Pic.JPG,stim/Items/group_2_in.mp3,26.3
63,stim/Items/Zug_Pic.JPG,stim/Items/group_3_out.mp3,29.3
64,stim/Items/Zug_Pic.JPG,stim/Items/group_3_in.mp3,35.3
